,City Name,City ID,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
231,ghatanji,1271343,13,1570051949,90,20.14,78.32,73.72,73.72,2.84
232,urusha,2014078,99,1570051949,66,54.05,122.9,27.85,27.85,2.84
233,oga,3175788,75,1570051950,86,46.46,10.35,44.6,37.99,6.93
234,contamana,3697838,61,1570051950,37,-7.35,-75.01,93.37,93.37,1.83
235,kaseda,1859964,75,1570051950,100,31.42,130.32,73.4,73.0,6.93
236,bonthe,2409914,100,1570051950,87,7.53,-12.5,78.38,78.38,7.36
237,coihaique,3894426,40,1570051950,49,-45.58,-72.07,51.8,46.4,8.05
238,marquette,5000947,90,1570051951,75,46.54,-87.4,50.0,46.0,12.75
239,kaduna,2335727,100,1570051732,94,10.52,7.44,71.56,71.56,2.21
240,ajdabiya,89113,0,1570051951,57,30.75,20.22,78.52,78.52,12.95
241,kenai,5866063,90,1570051951,75,60.55,-151.26,48.0,46.4,6.15
242,ribeira grande,2736041,0,1570051952,93,41.76,-8.56,61.0,55.0,3.36
243,luderitz,3355672,0,1570051952,91,-26.65,15.16,55.65,55.65,18.48
244,dangara,1254274,33,1570051952,74,29.68,75.89,76.29,76.29,5.66
245,pitimbu,3391889,0,1570051952,78,-7.47,-34.81,77.0,77.0,9.17
246,scottsbluff,5699404,40,1570051953,62,41.87,-103.67,53.6,50.0,6.93
247,port moresby,212962,6,1570051947,78,-7.04,29.76,67.04,67.04,2.71
248,beisfjord,3144987,0,1570051953,55,68.38,17.6,37.99,30.99,17.22
249,buri,3468802,34,1570051953,44,-23.8,-48.6,80.11,80.11,3.76
250,byron bay,4185553,1,1570051953,39,32.65,-83.76,96.8,93.0,3.36
251,beloha,1067565,100,1570051954,78,-25.17,45.06,70.28,70.28,12.75
252,piacabucu,3454005,0,1570051954,77,-10.41,-36.43,77.34,77.34,14.9
253,cabatuan,1721714,55,1570051954,89,16.95,121.67,71.18,71.18,1.63
254,grande prairie,2918121,75,1570051955,87,53.58,10.38,50.0,46.0,14.99
255,mahebourg,934322,75,1570051955,94,-20.41,57.7,73.99,73.4,12.75
256,hualmay,3939761,65,1570051955,88,-11.1,-77.61,62.0,62.0,15.75
257,victoria,1733782,75,1570051661,88,5.28,115.24,78.8,75.0,3.36
258,kavaratti,1267390,22,1570051759,76,10.57,72.64,81.64,81.64,7.78
259,oriximina,3393471,0,1570051955,41,-1.77,-55.87,93.64,93.64,5.84
260,ibra,287832,61,1570051956,42,22.69,58.55,80.09,80.09,3.33
261,pipirig,670777,0,1570051956,82,47.23,26.08,63.0,57.0,8.05
262,san cristobal,2451778,35,1570051802,60,13.3,-4.9,81.76,81.76,7.94
263,korgen,3149492,0,1570051957,51,66.08,13.83,39.2,33.01,8.05
264,gorontalo,1643837,59,1570051957,90,0.54,123.06,71.54,71.54,2.73
265,iaciara,3461641,0,1570051957,21,-14.1,-46.63,89.18,89.18,5.3
266,havre-saint-pierre,5972291,1,1570051957,36,50.23,-63.6,48.2,48.2,10.29
267,kupino,1501365,75,1570051957,66,54.36,77.31,40.62,40.62,9.04
